S.No,Quarter,PO Number,PO Status,Month of Purchase,HSN No.,Invoice Date,Invoice Number,Vendor,Material Movement Type,Purpose,Type of Scrap,Purchase Category,Location,Region,QTY in (Kg),Actual Quantity received,Rate,Value (Rs.),Total Value with GST (Rs.),TCS,Qty Out (Kg),Purpose,Material Location,Material Received Date,Goods Status,Sale,Vendor Catogery,Battery Type,Source of Procurement,EPR Status,Transporter Name,Invoice number,Vehicle Number,Logsitics Ex GST,Logistics Per KG,Transit Days,Transit Insurance ID,Amount,Remarks,Invoice Status With transportation Bill
1,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,Second Life,NMC,NOT FOR EPR,UP,North,"4,760.62","4,760.62",₹ 250.00,"1,190,155.00","1,404,382.90","1,432,470.56",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,Second Life,NMC,NOT FOR EPR,UP,North,"1,085.40","1,985.40",₹ 285.00,"309,339.00","365,020.02","372,320.42",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,Recycling,Laptop Batteries,NOT FOR EPR,UP,North,"2,505.20","2,505.20","₹ 1,020.00","2,555,304.00","3,015,258.72","3,075,563.89",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,Recycling,Battery Scrap,NOT FOR EPR,UP,North,70.4,70.4,₹ 800.00,"56,320.00","66,457.60","67,786.75",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,Second Life,NMC,NOT FOR EPR,UP,North,17.5,17.5,₹ 600.00,"10,500.00","12,390.00","12,637.80",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,Second Life,NMC,NOT FOR EPR,UP,North,62.7,62.7,₹ 375.00,"23,512.50","27,744.75","28,299.65",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,,,,,,856,,₹ 352.00,,,,,,,,,,,,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,,,,,,"1,205.00",,₹ 245.00,,,,,,,,,,,,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,,,,,,227.1,,"₹ 1,000.00",,,,,,,,,,,,,,,,,,,,,,,
,Q1,MMPO262700003,Close,April,,2/4/2026,,RE CAP SYSTEM ENERGIES,Fresh Purchase,Recycling,Laptop Batteries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Q1,MMPO262700004,Close,April,,2/4/2026,25-26/13,ei-Energy India,Fresh Purchase,Second Life,NMC,FOR EPR,karnataka,south,171,171,₹ 150.00,"25,650.00","30,267.00","30,872.34",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
3,Q1,MMPO262700005,Close,April,,3/4/2026,98074041,Greaves Electric Mobility Limited,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,karnataka,south,64.2,64.2,₹ 140.00,"8,988.00","10,605.84","10,817.96",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
4,Q1,MMPO262700005,Close,April,,3/4/2026,98074041,Greaves Electric Mobility Limited,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,karnataka,south,317.8,317.8,₹ 140.00,"44,492.00","52,500.56","53,550.57",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
5,Q1,MMPO262700006,Close,April,,3/4/2026,2627/002,Techsolve Electronix,Fresh Purchase,Second Life,NMC,NOT FOR EPR,Bengaluru,south,334,334,₹ 185.00,"61,790.00","72,912.20","74,370.44",,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
6,Q1,MMPO262700006,Close,April,,3/4/2026,2627/002,Techsolve Electronix,Fresh Purchase,Second Life,LFP,NOT FOR EPR,Bengaluru,south,27,27,₹ 25.00,675,796.5,812.43,,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
8,Q1,MMPO262700008,Close,April,,4/4/2026,1/2026-27,EVERGREEN STAR RECYCLING Pvt Ltd,Fresh Purchase,Recycling,Battery Scrap,NOT FOR EPR,Delhi,north,"3,100.00","3,100.00",₹ 925.00,"2,867,500.00","3,383,650.00","3,451,323.00",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
9,Q1,MMPO262700009,Close,April,,4/4/2026,2/2026-27,RA TRADERS,Fresh Purchase,Recycling,LCO,NOT FOR EPR,West Bengal,North,"5,140.00","5,140.00",₹ 725.00,"3,726,500.00","4,397,270.00","4,485,215.40",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700009,Close,April,,4/4/2026,2/2026-27,RA TRADERS,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,West Bengal,North,710,710,₹ 925.00,"656,750.00","774,965.00","790,464.30",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,,,,,,,,,,,,
10,Q1,MMPO262700012,Close,April,,7/4/2026,SWI_SCR_15,SWITCH MOBILITY AUTOMOTIVE LIMITED,Fresh Purchase,Recycling,NMC Modules,FOR EPR,Tamil Nadu,south,43,"1,940.40","₹ 6,000.00","258,000.00","304,440.00","310,528.80",,,,,,,Organized,Automative Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700012,Close,April,,7/4/2026,SWI_SCR_15,SWITCH MOBILITY AUTOMOTIVE LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Tamil Nadu,south,9,"1,906.20","₹ 41,000.00","369,000.00","435,420.00","444,128.40",,,,,,,Organized,Automative Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700012,Close,April,,7/4/2026,SWI_SCR_15,SWITCH MOBILITY AUTOMOTIVE LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Tamil Nadu,south,1,145,"₹ 29,000.00","29,000.00","34,220.00","34,904.40",,,,,,,Organized,Automative Battery,Registered Producer,,,,,,,,,,,
11,Q1,MMPO262700014,Close,April,,7/4/2026,RECAPUP/002,Re Cap System Energies,Fresh Purchase,Second Life,NMC,NOT FOR EPR,New Delhi,North,"9,610.00","9,610.00",₹ 285.00,"2,738,850.00","3,231,843.00","3,296,479.86",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
12,Q1,NO PO,Close,April,,8/4/2026,DC-BANG-00001,service lee technologies,Fresh Purchase,Second Life,NMC Battery Packs,NOT FOR EPR,Bengaluru,South,85.2,85.20,₹ 85.20,"7,259.04","8,565.67","8,736.98",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
13,Q1,MMPO262700021-1,Close,April,,9/4/2026,RECAP/002,RE CAP SYSTEM ENERGIES,Fresh Purchase,Second Life,NMC,NOT FOR EPR,New Delhi,North,"4,755.00","4,755.00","₹ 1,010.00","4,802,550.00","5,667,009.00","5,780,349.18",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
14,Q1,NO PO,Close,April,,10/4/2026,,switch mobility automative limited,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,450,450.00,₹ 33.33,"14,998.50","17,698.23","18,052.19",,,,,,,Organized,Automative Battery,Registered Producer,,,,,,,,,,,
15,Q1,MMPO262700028,Close,April,,11/4/2026,1,ARKA motors,Fresh Purchase,Recycling,NMC,NOT FOR EPR,Bengaluru,South,77.2,77.20,₹ 180.00,"13,896.00","16,397.28","16,725.23",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700028,Close,April,,11/4/2026,1,ARKA motors,Fresh Purchase,Recycling,LFP,NOT FOR EPR,Bengaluru,South,60.4,60.40,₹ 20.00,"1,208.00","1,425.44","1,453.95",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
16,Q1,MMPO262700031,Close,April,,11/4/2026,2/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,Battery Scrap,NOT FOR EPR,West Bengal,North,"3,400.00","3,400.00",₹ 935.00,"3,179,000.00","3,751,220.00","3,826,244.40",,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700031,Close,April,,11/4/2026,2/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,Battery Scrap,NOT FOR EPR,West Bengal,North,"5,040.00","5,040.00",₹ 735.00,"3,704,400.00","4,371,192.00","4,458,615.84",,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,,,,,,,,,,,,
17,Q1,MMPO262700032,Close,April,,13/4/2026,4100580486,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,"2,828.00","2,828.00",₹ 120.00,"339,360.00","400,444.80","408,453.70",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700032,Close,April,,13/4/2026,4100580486,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,"4,670.20","4,670.20",₹ 120.00,"560,424.00","661,300.32","674,526.33",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
18,Q1,MMPO262700036,Close,April,,14/4/2026,RECAP/003,Re Cap System Energies,Fresh Purchase,Recycling,Laptop Batteries,NOT FOR EPR,New Delhi,North,"3,545.00","3,545.00","₹ 1,050.00","3,722,250.00","4,392,255.00","4,480,100.10",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700036,Close,April,,14/4/2026,RECAP/003,Re Cap System Energies,Fresh Purchase,Recycling,LMO,NOT FOR EPR,New Delhi,North,"3,769.00","3,769.00",₹ 250.00,"942,250.00","1,111,855.00","1,134,092.10",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
19,Q1,NO PO,Close,April,,14/5/2026,RTCXFC2627077,RTCXFC industries private limited,Fresh Purchase,Recycling,NMC 18650,NOT FOR EPR,Pune,North,366,366.00,₹ 220.00,"80,520.00","95,013.60","96,913.87",,,,,,,,,,,,,,,,,,,,
20,Q1,MMPO262700038,Close,April,,15/4/2026,SC2270100022,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Packs,NOT FOR EPR,Tamil Nadu,South,70,616,₹ 756.00,"52,920.00","62,445.60","63,694.51",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
21,Q1,MMPO262700039-1,Close,April,,15/4/2026,TN2600070236,Switch Mobility,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Tamil Nadu,South,"2,255.00","2,255.00",₹ 198.00,"446,490.00","526,858.20","537,395.36",,,,,,,Organized,Automative Battery,Registered Producer,,,,,,,,,,,
22,Q1,MMPO262700041,Close,April,,15/4/2026,INVDOM/2627/0009,IDEAFORGE TECHNOLOGY LIMITED,Fresh Purchase,Recycling,Battery Scrap,NOT FOR EPR,MP,North,196.2,196.20,₹ 75.00,"14,715.00","17,363.70","17,710.97",,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700041,Close,April,,15/4/2026,INVDOM/2627/0009,IDEAFORGE TECHNOLOGY LIMITED,Fresh Purchase,Second Life,Battery Packs,NOT FOR EPR,MP,North,10.92,10.92,₹ 180.00,"1,965.60","2,319.41","2,365.80",,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
23,Q1,,Close,April,,16/4/2026,2,Re Cap System,Fresh Purchase,Second Life,NMC,NOT FOR EPR,UP,North,580,580.00,₹ 260.00,"150,800.00","177,944.00","181,502.88",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
24,Q1,MMPO262700043,Close,April,,16/4/2026,4100584608,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,North,"1,979.60","1,979.60",₹ 120.00,"237,552.00","280,311.36","285,917.59",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700043,Close,April,,16/4/2026,4100584608,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,North,"4,965.16","4,965.16",₹ 120.00,"595,819.20","703,066.66","717,127.99",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
25,Q1,MMPO262700046,Close,April,,17/4/2026,4/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,NOT FOR EPR,New Delhi,North,"1,665.00","1,665.00",₹ 995.00,"1,656,675.00","1,954,876.50","1,993,974.03",,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
26,Q1,MMPO262700047,Close,April,,17/4/2026,PDRL/26-27/005,PDRL,Fresh Purchase,Recycling,LiPo,FOR EPR,Maharastra,North,48,48.00,₹ 220.00,"10,560.00","12,460.80","12,710.02",,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
27,Q1,MMPO262700048,Close,April,,18/4/2026,5/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,FOR EPR,West Bengal,North,"3,330.00","3,330.00",₹ 945.00,"3,146,850.00","3,713,283.00","3,787,548.66",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,,Close,April,,18/4/2026,5/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,FOR EPR,West Bengal,North,"5,680.00","5,680.00",₹ 745.00,"4,231,600.00","4,993,288.00","5,093,153.76",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
28,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Recycling,LCO,FOR EPR,Jaipur,North,"5,238.40","5,238.40",₹ 800.00,"4,190,720.00","4,945,049.60","5,043,950.59",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Second Life,NMC,FOR EPR,Jaipur,North,846.4,846.40,₹ 407.00,"344,484.80","406,492.06","414,621.91",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,,,,,,,,,,,,
,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Recycling,LCO,FOR EPR,Jaipur,North,"2,142.20","2,142.20",₹ 780.00,"1,670,916.00","1,971,680.88","2,011,114.50",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,,,,,,,,,,,,
,Q1,MMPO262700050-1,Close,April,,21/4/2026,MH/26-27/1036,MH LION METALS,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Jaipur,North,"2,463.00","2,463.00",₹ 360.00,"886,680.00","1,046,282.40","1,067,208.05",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,,,,,,,,,,,,
29,Q1,MMPO262700051,Close,April,,21/4/2026,4100591863,Ola Electric Technologies Private Ltd,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Tamil Nadu,South,"4,266.72","4,266.72",₹ 120.00,"512,006.40","604,167.55","616,250.90",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
30,Q1,MMPO262700052,Close,April,,21/4/2026,98074260,Greaves Electric Mobility Limited,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Tamil Nadu,South,136.5,136.50,₹ 140.00,"19,110.00","22,549.80","23,000.80",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
31,Q1,,Close,April,,21/4/2026,INV-26-27-033,Dream Fly Innovation,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Bengaluru,South,406,406.00,₹ 170.00,"69,020.00","81,443.60","83,072.47",,,,,,,Organized,Drone Batteries,Registered Producer,,,,,,,,,,,
32,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr001,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"5,140.00","5,140.00",₹ 386.92,"1,988,768.80","2,346,747.18","2,393,682.13",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr002,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NMC NG cell with electrolyte 5ah,FOR EPR,Bengaluru,South,"6,380.00","6,380.00",₹ 460.59,"2,938,564.20","3,467,505.76","3,536,855.87",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr005,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"2,030.00","2,030.00",₹ 233.20,"473,396.00","558,607.28","569,779.43",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr009,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"6,690.00","6,690.00",₹ 233.20,"1,560,108.00","1,840,927.44","1,877,745.99",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,April,,22/4/2026,2026-27/Apr013,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"6,460.00","6,460.00",₹ 233.22,"1,506,601.20","1,777,789.42","1,813,345.20",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
33,Q1,MMPO262700057,Close,April,,22/4/2026,4100593931,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,"4,266.72","4,266.72",₹ 120.00,"512,006.40","604,167.55","616,250.90",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
34,Q1,MMPO262700058,Close,April,,22/4/2026,SC/002,LIBAT ENERGY,Fresh Purchase,Direct Sale,Metal Scrap Cu+Al with mix Plastic,FOR EPR,Tamil Nadu,South,713,713.00,₹ 800.00,"570,400.00","673,072.00","686,533.44",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700058,Close,April,,22/4/2026,SC/002,LIBAT ENERGY,Fresh Purchase,Direct Sale,Metal Scrap Cu+Al,FOR EPR,Tamil Nadu,South,"6,670.00","6,670.00",₹ 25.00,"166,750.00","196,765.00","200,700.30",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700058,Close,April,,22/4/2026,SC/002,LIBAT ENERGY,Fresh Purchase,Direct Sale,Aluminium Scrap,FOR EPR,Tamil Nadu,South,847,847.00,₹ 85.00,"71,995.00","84,954.10","86,653.18",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
35,Q1,No Po,Close,April,,22/4/2026,1,ARS electric vechicles,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,20,20.00,₹ 20.00,400,472,481.44,,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,No Po,Close,April,,22/4/2026,1,ARS electric vechicles,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,296,296.00,₹ 180.00,"53,280.00","62,870.40","64,127.81",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
36,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,36,709.2,"₹ 3,116.00","112,176.00","132,367.68","135,015.03",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,70,"1,554.00","₹ 4,917.00","344,190.00","406,144.20","414,267.08",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,32,704,"₹ 7,133.00","228,256.00","269,342.08","274,728.92",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
