S.No,Quarter,PO Number,PO Status,Month of Purchase,HSN No.,Invoice Date,Invoice Number,Vendor,Material Movement Type,Purpose,Type of Scrap,Purchase Category,Location,Region,QTY in (Kg),Actual Quantity received,Rate,Value (Rs.),Total Value with GST (Rs.),TCS,Qty Out (Kg),Purpose,Material Location,Material Received Date,Goods Status,Sale,Vendor Catogery,Battery Type,Source of Procurement,EPR Status,Transporter Name,Invoice number,Vehicle Number,Logsitics Ex GST,Logistics Per KG,Transit Days,Transit Insurance ID,Amount,Remarks,Invoice Status With transportation Bill
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,Battery Packs,FOR EPR,Tamil Nadu,South,7,136.5,"₹ 4,535.00","31,745.00","37,459.10","38,208.28",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700060,Close,April,,28/4/2026,SC2270100042,ATHER ENERGY LIMITED,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Tamil Nadu,South,1,18.2,"₹ 4,545.00","4,545.00","5,363.10","5,470.36",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
37,Q1,MMPO262700061,Close,April,,23/4/2026,SC2270000016,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Bengaluru,South,1,22.2,"₹ 5,319.00","5,319.00","6,276.42","6,401.95",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700061,Close,April,,23/4/2026,SC2270000016,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC,FOR EPR,Bengaluru,South,1,23,"₹ 7,561.00","7,561.00","8,921.98","9,100.42",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700061,Close,April,,23/4/2026,SC2270000016,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,5,133.2,"₹ 2,139.00","10,695.00","12,620.10","12,872.50",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
38,Q1,MMPO262700062,Close,April,,23/4/2026,SC2270000014,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,1,22,"₹ 5,319.00","5,319.00","6,276.42","6,401.95",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700062,Close,April,,23/4/2026,SC2270000014,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,2,46.68,"₹ 2,139.00","4,278.00","5,048.04","5,149.00",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
39,Q1,MMPO262700064,Close,April,,28/4/2026,TMI/001,Trimurthi international,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"8,540.00","8,540.00","₹ 1,160.00","9,906,400.00","11,689,552.00","11,923,343.04",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700064,Close,April,,28/4/2026,TMI/002,Trimurthi international,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,"10,000.00","10,000.00","₹ 1,160.00","11,600,000.00","13,688,000.00","13,961,760.00",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
40,Q1,MMPO262700067,Close,April,,24/4/2026,PI/26-27/010,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Cells,FOR EPR,Bengaluru,South,112,112.00,₹ 10.00,"1,120.00","1,321.60","1,348.03",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,No Tax invoice,
41,Q1,MMPO262700078,Close,April,,25/4/2026,7/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,FOR EPR,Delhi,North,"3,040.00","3,040.00",₹ 965.00,"2,933,600.00","3,461,648.00","3,530,880.96","3,040.00",,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700078,Close,April,,25/4/2026,7/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,FOR EPR,Delhi,North,"6,160.00","6,160.00",₹ 755.00,"4,650,800.00","5,487,944.00","5,597,702.88","2,798,851.44",,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Registered Producer,,,,,,,,,,,
42,Q1,MMPO262700083,Close,April,,29/4/2026,INV/341/2026-27,Recyclify-Ecowaste Management Technologies Pvt Ltd,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Harayana,North,424,424.00,₹ 300.00,"127,200.00","150,096.00","153,097.92",,,,,,,Organized,Industrial Battery,Recycler,,,,,,,,,,,
,Q1,MMPO262700083,Close,April,,29/4/2026,INV/341/2026-27,Recyclify-Ecowaste Management Technologies Pvt Ltd,Fresh Purchase,Second Life,NMC,FOR EPR,Harayana,North,72,72.00,₹ 300.00,"21,600.00","25,488.00","25,997.76",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Recycler,,,,,,,,,,,
,Q1,MMPO262700083,Close,April,,29/4/2026,INV/341/2026-27,Recyclify-Ecowaste Management Technologies Pvt Ltd,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Harayana,North,62,62.00,₹ 300.00,"18,600.00","21,948.00","22,386.96",,,,,,,Organized,Industrial Battery,Recycler,,,,,,,,,,,
43,Q1,MMPO262700084,Close,May,,2/5/2026,,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,FOR EPR,West Bengal,North,"7,840.00","7,840.00",₹ 970.00,"7,604,800.00","8,973,664.00","9,153,137.28","7,840.00",,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,No Tax Invoice,
,Q1,MMPO262700084,Close,May,,2/5/2026,,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,FOR EPR,West Bengal,North,"6,890.00","6,890.00",,"5,270,850.00","6,219,603.00","6,343,995.06","3,171,997.53",,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,,,,,,,,,,,No Tax Invoice,
44,Q1,MMPO262700056,Close,May,,2/5/2026,2026-27/Apr014,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NG Coated Cu-foil-Double side 5Ah,FOR EPR,Bengaluru,South,820,820.00,₹ 233.32,"191,322.40","225,760.43","230,275.64",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,May,,2/5/2026,2026-27/Apr014,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Recycling,NMC Single JR Anode-5Ah,FOR EPR,Bengaluru,South,860,860.00,₹ 214.74,"184,676.40","217,918.15","222,276.52",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,May,,2/5/2026,2026-27/Apr014,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Second Life,NMC NG cell with electrolyte 5ah,FOR EPR,Bengaluru,South,"2,430.00","2,430.00",₹ 460.59,"1,119,233.70","1,320,695.77","1,347,109.68",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700056,Close,May,,2/5/2026,2026-27/Apr014,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Second Life,Jelly Roll-NCM_5Ah,FOR EPR,Bengaluru,South,"2,380.00","2,380.00",₹ 619.09,"1,473,434.20","1,738,652.36","1,773,425.40",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
45,Q1,MMPO262700087,Close,May,,4/5/2026,2025-26/PI73,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Tamil Nadu,South,"9,094.60","9,094.60",₹ 120.00,"1,091,352.00","1,287,795.36","1,313,551.27",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
46,Q1,MMPO262700088,Close,May,,4/5/2026,1134509912,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Second Life,LFP Cells,FOR EPR,Gujarat,North,650.85,650.85,₹ 50.00,"32,542.50","38,400.15","39,168.15",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700088,Close,May,,4/5/2026,1134509912,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Gujarat,North,"1,240.00","1,240.00",₹ 60.00,"74,400.00","87,792.00","89,547.84",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700088,Close,May,,4/5/2026,1134509912,EXIDE ENERGY SOLUTIONS LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Gujarat,North,300.6,300.60,₹ 225.00,"67,635.00","79,809.30","81,405.49",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
47,Q1,MMPO262700092,Close,May,,5/5/2026,11/2026-2027,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,FOR EPR,West Bengal,North,"3,615.00","3,615.00",₹ 970.00,"3,506,550.00","4,137,729.00","4,220,483.58","3,615.00",,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700092,Close,May,,5/5/2026,11/2026-2027,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,FOR EPR,West Bengal,North,"5,375.00","5,375.00",₹ 765.00,"4,111,875.00","4,852,012.50","4,949,052.75","2,474,526.38",,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,,,,,,,,,,,,
48,Q1,MMPO262700096,Close,May,,6/5/2026,2026-27/PI75,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Tamil Nadu,South,"7,865.60","7,865.60",₹ 120.00,"943,872.00","1,113,768.96","1,136,044.34",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,No Tax invoice,
49,Q1,MMPO262700097,Close,May,,6/5/2026,SETNINV26-27/042,SHIZEN ENERGY INDIA PRIVATE LIMITED,Fresh Purchase,Second Life,NMC prismatic,FOR EPR,Tamil Nadu,South,"1,990.00","1,990.00",₹ 194.92,"387,890.80","457,711.14","466,865.37",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700097,Close,May,,6/5/2026,SETNINV26-27/042,SHIZEN ENERGY INDIA PRIVATE LIMITED,Fresh Purchase,Second Life,LFP Prismatic cells,FOR EPR,Tamil Nadu,South,"3,024.00","3,024.00",₹ 49.15,"148,629.60","175,382.93","178,890.59",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
50,Q1,MMPO262700103,Close,May,,7/5/2026,2/2026-27,EVERGREEN STAR RECYCLING PRIVATE LIMITED,Fresh Purchase,Recycling,LiPo,FOR EPR,"West Bengal,",North,"5,720.00","5,720.00",₹ 760.00,"4,347,200.00","5,129,696.00","5,232,289.92",#REF!,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
,Q1,MMPO262700103,Close,May,,7/5/2026,2/2026-27,EVERGREEN STAR RECYCLING PRIVATE LIMITED,Fresh Purchase,Recycling,LCO,FOR EPR,"West Bengal,",North,"3,320.00","3,320.00",₹ 965.00,"3,203,800.00","3,780,484.00","3,856,093.68",,"5,981,728.97",,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
51,Q1,MMPO262700105,Close,May,,8/5/2026,2026-27/Apr015,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NG coated cu foil single side 5ah,FOR EPR,Bengaluru,South,300,300.00,₹ 212.00,"63,600.00","75,048.00","76,548.96",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700105,Close,May,,8/5/2026,2026-27/Apr015,Exide Energy Solutions Limited,Fresh Purchase,Recycling,NMC NG cell with electrolyte 5ah,FOR EPR,Bengaluru,South,460,460.00,₹ 481.32,"221,407.20","261,260.50","266,485.71",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
52,Q1,MMPO262700107,Close,May,,7/5/2026,PI/006,Re Cap System Energies,Fresh Purchase,Recycling,LCO,FOR EPR,New Delhi,North,"3,000.00","3,000.00","₹ 1,050.00","3,150,000.00","3,717,000.00","3,791,340.00",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
,Q1,MMPO262700107,Close,May,,7/5/2026,PI/006,Re Cap System Energies,Fresh Purchase,Recycling,LCO,FOR EPR,New Delhi,North,"4,500.00","4,500.00","₹ 1,070.00","4,815,000.00","5,681,700.00","5,795,334.00",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
53,Q1,MMPO262700108,Close,May,,2/5/2026,001/2026-27,SORIAAN RECYCLERS PRIVATE LIMITED,Fresh Purchase,Second Life,LiPo,NOT FOR EPR,Bidadi,South,"1,351.00","1,351.00",₹ 240.00,"324,240.00","382,603.20","390,255.26",,,,,,,Organized,Automative Battery,Recycler,,,,,,,,,,,
54,Q1,MMPO262700114,Close,May,,13/5/2026,Recap/006,Re Cap System Energies,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Delhi,South,"4,150.00","4,150.00",₹ 960.00,"3,984,000.00","4,701,120.00","4,795,142.40",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700114,Close,May,,13/5/2026,Recap/006,Re Cap System Energies,Fresh Purchase,Recycling,LCO,NOT FOR EPR,Delhi,South,400,400.00,"₹ 1,035.00","414,000.00","488,520.00","498,290.40",,,,,,,Organized,Portable Battery except those used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Q1,MMPO262700119,Close,May,,12/5/2026,3/2026-27,EVERGREEN STAR RECYCLING PRIVATE LIMITED,Fresh Purchase,Recycling,LiPo,FOR EPR,"West Bengal,",North,"4,625.00","4,625.00",₹ 960.00,"4,440,000.00","5,239,200.00","5,343,984.00",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,Recycler,,,,,,,,,,,
,Q1,MMPO262700119,Close,May,,12/5/2026,3/2026-27,EVERGREEN STAR RECYCLING PRIVATE LIMITED,Fresh Purchase,Recycling,LCO,FOR EPR,"West Bengal,",North,"4,410.00","4,410.00",₹ 755.00,"3,329,550.00","3,928,869.00","4,007,446.38",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Recycler,,,,,,,,,,,
57,Q1,NO PO,Close,May,,9/5/2026,5,Re Cap System Energies,Fresh Purchase,Second Life,NMC,FOR EPR,UP,North,424,424.00,₹ 300.00,"127,200.00","150,096.00","153,097.92",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Recycler,,,,,,,,,,,
,Q1,NO PO,Close,May,,9/5/2026,5,Re Cap System Energies,Fresh Purchase,Second Life,NMC,FOR EPR,UP,North,72,72.00,₹ 300.00,"21,600.00","25,488.00","25,997.76",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Recycler,,,,,,,,,,,
58,Q1,MMPO262700121,Close,May,,14/5/2026,1400800090,Exide Energy Solutions Limited,Fresh Purchase,Recycling,Anode Electrode LFP 106Ah,FOR EPR,Bengaluru,South,"1,130.00","1,130.00",₹ 212.03,"239,593.90","282,720.80","288,375.22",,,,,,,Organized,Industrial Battery,Registered Producer,,,,,,,,,,,
59,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000026,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,1,17.4,"₹ 3,116.00","3,116.00","3,676.88","3,750.42",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000026,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,4,75.92,"₹ 5,319.00","21,276.00","25,105.68","25,607.79",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000026,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,2,37.96,"₹ 7,561.00","15,122.00","17,843.96","18,200.84",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000026,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,4,76,"₹ 4,954.00","19,816.00","23,382.88","23,850.54",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000026,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,6,113.9,"₹ 1,917.00","11,502.00","13,572.36","13,843.81",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000026,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,8,151.8,"₹ 7,133.00","57,064.00","67,335.52","68,682.23",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000026,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,7,132.87,"₹ 4,535.00","31,745.00","37,459.10","38,208.28",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000027,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Cells,FOR EPR,Bengaluru,South,3,27.51,₹ 556.00,"1,668.00","1,968.24","2,007.60",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000027,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Modules,FOR EPR,Bengaluru,South,18,165.06,₹ 756.00,"13,608.00","16,057.44","16,378.59",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700122,Close,May,,14/5/2026,SC2270000027,ATHER ENERGY LIMITED,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,7,177.8,"₹ 2,139.00","14,973.00","17,668.14","18,021.50",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
60,Q1,MMPO262700125,Close,May,,14/5/2026,2026-27/PI80,Ola Electric Technologies Private Ltd,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Bengaluru,South,"4,424.00","4,424.00",₹ 120.00,"530,880.00","626,438.40","638,967.17",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,No tax invoice,
61,Q1,,Close,May,,14/5/2026,,Acko Insurance,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Hyderabad,South,500,500.00,,#VALUE!,#VALUE!,#VALUE!,,,,,,,Organized,Electric Vehicle (EV) Battery Comprising of four wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700109,Close,May,,15/5/2026,91125358,Greaves Electric Mobility Limited,Fresh Purchase,Second Life,NMC,FOR EPR,Tamil Nadu,South,228.8,228.80,₹ 140.00,"32,032.00","37,797.76","38,553.72",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
62,Q1,MMPO262700132,Close,May,,15/5/2026,LE-INV/26-27/2,Lekshana Enterprises,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Andhra Pradesh,South,"1,200.00","1,200.00",₹ 320.00,"384,000.00","453,120.00","462,182.40",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
63,Q1,MMPO262700131,Close,May,,15/5/2026,12/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LCO,FOR EPR,Delhi,North,"4,640.00","4,640.00",₹ 755.00,"3,503,200.00","4,133,776.00","4,216,451.52",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,"Other (Collection Centers, Dealers, etc.)",,,,,,,,,,,
,Q1,MMPO262700131,Close,May,,15/5/2026,12/2026-27,GRAND ENTERPRISES,Fresh Purchase,Recycling,LiPo,FOR EPR,Delhi,North,"3,630.00","3,630.00",₹ 955.00,"3,466,650.00","4,090,647.00","4,172,459.94",,,,,,,Organized,Portable Battery used in Consumer Electronics which are rechargable,,,,,,,,,,,,
64,Q1,MMPO262700126,Close,May,,14/5/2026,SC2270000029,Ather Energy Private Limited,Fresh Purchase,Second Life,LFP Packs,FOR EPR,Bengaluru,South,3,76,"₹ 2,139.00","6,417.00","7,572.06","7,723.50",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
65,Q1,MMPO262700136,Close,May,,18/5/2026,4100636732,OLA Electric Technologies Pvt Ltd,Fresh Purchase,Second Life,NMC Battery Packs,FOR EPR,Tamil Nadu,South,31.2,31.2,₹ 120.00,"3,744.00","4,417.92","4,506.28",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
,Q1,MMPO262700136,Close,May,,18/5/2026,4100636732,OLA Electric Technologies Pvt Ltd,Fresh Purchase,Recycling,Battery Scrap,FOR EPR,Tamil Nadu,South,"2,242.20","2,242.20",₹ 120.00,"269,064.00","317,495.52","323,845.43",,,,,,,Organized,Electric Vehicle (EV) Two Wheelers,Registered Producer,,,,,,,,,,,
